endOfGameResult,gameDuration,gameEndTimestamp,gameId,gameStartTimestamp,gameVersion,matchId,platformId,region,team_100_EPIC_MONSTER_KILL,team_100_FIRST_BLOOD,team_100_FIRST_TURRET,team_100_atakhan_first,team_100_atakhan_kills,team_100_baron_first,team_100_baron_kills,team_100_champion_first,team_100_champion_kills,team_100_dragon_first,team_100_dragon_kills,team_100_horde_first,team_100_horde_kills,team_100_inhibitor_first,team_100_inhibitor_kills,team_100_riftHerald_first,team_100_riftHerald_kills,team_100_tower_first,team_100_tower_kills,team_200_EPIC_MONSTER_KILL,team_200_FIRST_BLOOD,team_200_FIRST_TURRET,team_200_atakhan_first,team_200_atakhan_kills,team_200_baron_first,team_200_baron_kills,team_200_champion_first,team_200_champion_kills,team_200_dragon_first,team_200_dragon_kills,team_200_horde_first,team_200_horde_kills,team_200_inhibitor_first,team_200_inhibitor_kills,team_200_riftHerald_first,team_200_riftHerald_kills,team_200_tower_first,team_200_tower_kills,tournamentCode,winner_team_id
GameComplete,1400,1745018960446,5269865992,1745017559681,15.8.675.10,NA1_5269865992,NA1,americas,3,1001,1,True,1,False,0,False,21,False,1,True,6,False,0,True,1,True,4,1001,3,1001,False,0,False,0,True,15,True,2,False,0,False,0,False,0,False,2,,100
GameComplete,1524,1744589457829,5266494442,1744587933314,15.7.672.4034,NA1_5266494442,NA1,americas,2,3,1,True,1,False,0,True,20,True,2,False,1,False,0,True,1,True,3,0,1001,1001,False,0,False,0,False,26,False,2,True,5,True,1,False,0,False,8,,200
GameComplete,1782,1744585171830,5266444763,1744583389986,15.7.672.4034,NA1_5266444763,NA1,americas,2,3,1,True,1,True,1,False,34,True,3,False,5,False,0,True,1,True,8,0,1001,1001,False,0,False,0,True,22,False,1,True,1,False,0,False,0,False,2,,100
GameComplete,1939,1744582474913,5266408515,1744580535842,15.7.672.4034,NA1_5266408515,NA1,americas,1001,1001,1,False,0,True,1,False,20,False,0,True,3,False,0,True,1,True,3,3,3,1001,True,1,False,0,True,44,True,4,False,3,True,1,False,0,False,8,,200
GameComplete,930,1744576222010,5266355238,1744575291787,15.7.672.4034,NA1_5266355238,NA1,americas,1,1001,1001,False,0,False,0,True,9,False,0,True,3,False,0,False,0,False,0,2,3,1,False,0,False,0,False,21,True,2,False,0,False,0,False,0,True,3,,200
GameComplete,1911,1744579043527,5266372395,1744577131964,15.7.672.4034,NA1_5266372395,NA1,americas,1001,3,1,True,1,True,1,False,39,False,2,False,1,True,3,False,0,True,11,3,1001,1001,False,0,False,0,True,26,True,3,True,5,False,0,True,1,False,5,,100
GameComplete,1691,1744573652146,5266320329,1744571960831,15.7.672.4034,NA1_5266320329,NA1,americas,1,3,1,True,1,False,0,True,25,False,3,True,6,True,1,True,1,True,9,1,1001,1001,False,0,False,0,False,16,True,1,False,0,False,0,False,0,False,4,,100
GameComplete,1580,1744571426721,5266298635,1744569846752,15.7.672.4034,NA1_5266298635,NA1,americas,3,3,0,False,0,False,0,True,19,True,1,True,6,False,0,False,0,False,3,1001,1001,0,True,1,False,0,False,29,False,2,False,0,True,1,True,1,True,7,,200
GameComplete,1399,1744515284618,5265904325,1744513885694,15.7.672.4034,NA1_5265904325,NA1,americas,0,1001,1001,False,0,False,0,False,10,False,0,False,2,False,0,False,0,False,2,1,3,1,True,1,False,0,True,25,True,2,True,4,True,1,True,1,True,8,,200
GameComplete,2589,1744682879623,5267244886,1744680290486,15.7.672.4034,NA1_5267244886,NA1,americas,1001,3,1001,False,0,True,2,False,40,True,3,False,2,False,0,False,0,False,7,3,1001,1,True,1,False,0,True,43,False,3,True,4,True,5,True,1,True,14,,200
GameComplete,1548,1744130041249,5262700981,1744128492487,15.7.670.3172,NA1_5262700981,NA1,americas,1001,3,1001,True,1,False,0,True,19,False,0,True,6,False,0,False,0,False,1,3,1001,1,False,0,False,0,False,35,True,3,False,0,True,1,True,1,True,10,,200
GameComplete,1185,1744055040512,5262083903,1744053855215,15.7.670.3172,NA1_5262083903,NA1,americas,3,1001,1,False,0,False,0,True,25,True,2,True,6,False,0,False,0,True,5,1001,3,1001,False,0,False,0,False,14,False,0,False,0,False,0,True,1,False,1,,100
GameComplete,1750,1744871382463,5268785281,1744869632194,15.8.673.8244,NA1_5268785281,NA1,americas,0,3,1,True,1,True,1,True,42,False,1,True,3,True,2,False,0,True,10,1,1001,1001,False,0,False,0,False,27,True,3,False,3,False,0,True,1,False,4,,100
GameComplete,1810,1744669486544,5267102160,1744667676667,15.7.672.4034,NA1_5267102160,NA1,americas,2,1001,1001,False,0,False,0,False,31,False,2,True,6,False,0,False,0,False,5,1,3,1,True,1,True,1,True,44,True,2,False,0,True,2,True,1,True,10,,200
GameComplete,1918,1744414550089,5264975575,1744412631803,15.7.672.4034,NA1_5264975575,NA1,americas,1001,3,1001,False,0,False,0,True,26,True,1,False,0,False,0,False,0,False,3,3,1001,1,True,1,True,1,False,35,False,3,True,6,True,4,False,0,True,11,,200
GameComplete,1672,1744922552389,5269055956,1744920879788,15.8.674.8619,NA1_5269055956,NA1,americas,1001,1001,0,False,0,False,0,False,14,False,0,False,0,False,0,True,1,False,1,3,3,0,True,1,True,1,True,30,True,4,True,6,True,3,False,0,True,9,,200
GameComplete,1622,1744746337349,5267685221,1744744714855,15.7.672.4034,NA1_5267685221,NA1,americas,1001,1001,0,False,0,False,0,False,14,False,0,False,1,False,0,False,0,False,2,3,3,0,True,1,False,0,True,37,True,3,True,5,True,1,False,0,True,7,,200
GameComplete,992,1744652791876,5266972155,1744651799582,15.7.672.4034,NA1_5266972155,NA1,americas,3,3,0,False,0,False,0,True,18,True,2,True,6,False,0,False,0,True,3,1001,1001,0,False,0,False,0,False,12,False,0,False,0,False,0,False,0,False,0,,100
GameComplete,1960,1744477902336,5265502232,1744475942381,15.7.672.4034,NA1_5265502232,NA1,americas,1,1001,1001,True,1,True,1,False,27,False,2,True,3,True,3,True,1,False,10,2,3,1,False,0,False,0,True,20,True,3,False,3,False,0,False,0,True,5,,100
GameComplete,1331,1745051242762,1499344668,1745049911000,15.8.675.10,LA2_1499344668,LA2,americas,1001,1001,1,False,0,False,0,False,16,True,2,False,0,False,0,False,0,True,2,3,3,1001,False,0,False,0,True,33,False,1,True,3,False,0,True,1,False,6,,200
GameComplete,1432,1745047949441,1499339999,1745046517089,15.8.675.10,LA2_1499339999,LA2,americas,1,1001,1001,False,0,False,0,False,34,False,0,True,3,False,0,False,0,False,1,1,3,1,True,1,False,0,True,42,True,2,False,3,True,1,True,1,True,7,,200
