position,champion,key,games_played,kda,win_rate,pick_rate,ban_rate,cs,gold
top,Lissandra,lissandra,6,2.33,16.666666666666664,1.39,0.31,198.33,9889
top,Viktor,viktor,6,1.27,16.666666666666664,1.34,0.35,207.67,12092
top,Syndra,syndra,6,1.89,16.666666666666664,1.5,8.73,246.5,14188
top,Smolder,smolder,16,1.46,18.75,1.5,0.86,197.19,11455
top,Orianna,orianna,5,1.4,20.0,1.46,2.3,191.0,9231
top,Volibear,volibear,5,1.72,20.0,1.53,,159.2,9395
top,Diana,diana,5,1.16,20.0,1.64,4.7,171.8,9868
top,Gragas,gragas,16,1.66,25.0,1.69,0.22,160.56,8569
top,Zilean,zilean,4,3.82,25.0,1.75,10.59,228.5,11025
top,Kassadin,kassadin,4,2.33,25.0,1.47,2.22,176.25,10478
top,Yasuo,yasuo,58,0.98,27.586206896551722,4.69,22.02,200.38,10245
top,Poppy,poppy,28,2.34,28.57142857142857,3.5,10.49,196.18,11513
top,Brand,brand,14,1.7,28.57142857142857,1.64,0.15,184.64,10461
top,Zed,zed,7,2.44,28.57142857142857,1.64,8.68,209.29,11625
top,Zoe,zoe,16,2.46,31.25,5.06,7.48,169.94,9877
top,Rek'Sai,reksai,9,1.82,33.33333333333333,1.44,1.24,222.0,13018
top,Nasus,nasus,42,2.24,35.714285714285715,3.66,0.45,199.07,10890
top,Ornn,ornn,25,1.72,36.0,1.53,,166.08,9297
top,K'Sante,ksante,83,2.16,36.144578313253014,3.76,0.5,199.14,11127
top,Illaoi,illaoi,8,1.11,37.5,2.47,0.14,203.13,9977
top,Warwick,warwick,13,2.06,38.46153846153847,7.54,0.21,212.23,13226
top,Yone,yone,75,1.6,38.666666666666664,4.49,0.84,224.25,12221
top,Swain,swain,40,2.35,40.0,2.75,0.89,199.5,11123
top,Pantheon,pantheon,10,2.71,40.0,1.29,0.43,186.8,11244
top,Anivia,anivia,51,1.57,41.17647058823529,2.55,2.4,155.75,8599
top,Aurora,aurora,70,2.0,41.42857142857143,4.29,1.13,193.87,11240
top,Dr. Mundo,drmundo,48,2.13,41.66666666666667,2.44,1.22,214.71,11894
top,Neeko,neeko,12,1.36,41.66666666666667,2.47,4.69,180.08,11223
top,Azir,azir,115,1.63,41.73913043478261,6.11,3.22,196.7,11626
top,Camille,camille,66,2.0,43.93939393939394,3.2,0.24,196.26,11871
top,Zaahen,zaahen,240,1.81,45.416666666666664,8.42,12.82,188.77,10920
top,Mordekaiser,mordekaiser,24,1.24,45.83333333333333,1.68,0.44,181.0,10519
top,Akali,akali,65,2.1,46.15384615384615,3.23,13.2,191.28,11451
top,Malphite,malphite,112,2.42,46.42857142857143,4.17,15.63,183.37,10315
top,Ambessa,ambessa,387,2.25,47.02842377260982,13.93,18.85,200.28,11617
top,Singed,singed,34,1.87,47.05882352941176,3.72,0.58,218.76,10808
top,Zac,zac,17,2.97,47.05882352941176,1.86,3.25,175.71,10131
top,Yorick,yorick,93,1.89,47.31182795698925,3.89,3.38,213.73,11331
top,Nidalee,nidalee,23,2.49,47.82608695652174,2.49,1.59,171.17,11741
top,Jax,jax,229,1.87,48.03493449781659,8.12,8.48,192.32,11415
