position,champion,key,games_played,kda,win_rate,pick_rate,ban_rate,cs,gold
top,Yuumi,yuumi,690,1.74,16.81159420289855,0.02,2.69,60.58,6335
top,Nami,nami,108,1.96,29.629629629629626,0.0,1.95,94.44,8095
top,Blitzcrank,blitzcrank,676,1.43,31.06508875739645,0.02,12.89,114.5,9517
top,Nunu & Willump,nunu,458,1.51,31.65938864628821,0.01,1.39,127.97,9406
top,Milio,milio,200,2.18,32.5,0.01,4.47,142.21,9275
top,Amumu,amumu,682,1.37,33.137829912023456,0.02,5.46,141.7,9993
top,Bard,bard,818,1.96,33.618581907090466,0.03,1.63,132.76,9895
top,Hecarim,hecarim,361,1.32,34.34903047091413,0.01,1.52,156.49,10466
top,Leona,leona,640,1.78,35.15625,0.02,6.34,117.66,9362
top,Sona,sona,357,1.91,35.294117647058826,0.01,0.54,119.18,9235
top,Braum,braum,494,1.51,35.62753036437247,0.02,2.24,134.93,10048
top,Thresh,thresh,1830,1.72,37.759562841530055,0.06,2.86,165.71,10901
top,Soraka,soraka,1707,2.43,39.015817223198596,0.05,2.81,128.49,9089
top,Nilah,nilah,474,1.27,39.029535864978904,0.01,2.28,204.42,13080
top,Rell,rell,524,2.03,39.31297709923664,0.02,0.48,134.27,9911
top,Kha'Zix,khazix,409,1.6,39.36430317848411,0.01,2.08,170.88,11448
top,Samira,samira,1158,1.27,39.637305699481864,0.04,5.39,192.11,12348
top,Renata Glasc,renata,73,2.19,39.726027397260275,0.0,0.1,111.08,8796
top,Bel'Veth,belveth,798,1.31,40.100250626566414,0.02,3.32,177.73,11519
top,Lucian,lucian,1608,1.53,40.11194029850746,0.05,2.33,201.04,12473
top,Yunara,yunara,1045,1.3,40.28708133971292,0.03,2.01,197.8,12267
top,Sivir,sivir,714,1.5,40.476190476190474,0.02,1.91,219.9,12269
top,Lulu,lulu,1704,1.99,41.13849765258216,0.05,3.41,154.89,10407
top,Taric,taric,1486,1.72,41.251682368775235,0.05,0.55,132.93,9734
top,Ezreal,ezreal,1707,1.66,41.35910954891623,0.05,1.72,186.71,11886
top,Jinx,jinx,956,1.56,41.84100418410041,0.03,4.21,181.85,11731
top,Pyke,pyke,291,1.87,41.92439862542955,0.01,14.47,117.35,10897
top,Vi,vi,4122,1.44,42.28529839883552,0.13,0.46,173.21,12188
top,Kindred,kindred,643,1.66,42.61275272161742,0.02,2.24,184.89,12382
top,Alistar,alistar,2325,1.97,42.752688172043015,0.07,0.94,135.7,9843
top,Skarner,skarner,3486,1.79,42.82845668387837,0.11,0.14,161.74,10831
top,Shyvana,shyvana,4760,1.43,43.02521008403362,0.15,0.3,206.97,12433
top,Xerath,xerath,1035,2.36,43.768115942028984,0.03,4.43,174.02,11553
top,Miss Fortune,missfortune,1475,1.6,44.06779661016949,0.05,19.36,187.21,12781
top,Twitch,twitch,1361,1.85,44.15870683321088,0.04,6.97,158.86,12268
top,Graves,graves,4281,1.58,44.26535856108386,0.13,1.94,216.48,13050
top,Ashe,ashe,6852,1.74,44.483362521891415,0.21,6.98,178.09,11656
top,Udyr,udyr,16891,1.48,44.63915694748683,0.52,1.99,192.42,11760
top,Lee Sin,leesin,6233,1.8,44.777795604043,0.19,1.7,185.3,12455
top,Rammus,rammus,2622,1.59,44.813119755911515,0.08,4.69,161.25,10684
top,Evelynn,evelynn,304,2.2,45.06578947368421,0.01,1.83,135.86,11945
top,Nautilus,nautilus,4214,1.95,45.11153298528714,0.13,8.86,158.91,10437
top,Nidalee,nidalee,4103,1.92,45.186448939800144,0.13,0.23,175.43,11840
